ElectionDate,PartyCode,PartyName,RaceCode,OfficeDesc,CountyCode,CountyName,Juris1num,Juris2num,Precincts,PrecinctsReporting,CanNameLast,CanNameFirst,CanNameMiddle,CanVotes
11/5/2002,REP,Republican,USR,United States Representative,ESC,Escambia,1,,91,91,Miller,Jeff,,63536
11/5/2002,REP,Republican,USR,United States Representative,HOL,Holmes,1,,17,17,Miller,Jeff,,3631
11/5/2002,REP,Republican,USR,United States Representative,OKA,Okaloosa,1,,57,57,Miller,Jeff,,39997
11/5/2002,REP,Republican,USR,United States Representative,SAN,Santa Rosa,1,,38,38,Miller,Jeff,,35067
11/5/2002,REP,Republican,USR,United States Representative,WAL,Walton,1,,30,30,Miller,Jeff,,6437
11/5/2002,REP,Republican,USR,United States Representative,WAS,Washington,1,,20,20,Miller,Jeff,,3967
11/5/2002,DEM,Democrat,USR,United States Representative,ESC,Escambia,1,,91,91,Oram,Bert,,27514
11/5/2002,DEM,Democrat,USR,United States Representative,HOL,Holmes,1,,17,17,Oram,Bert,,1683
11/5/2002,DEM,Democrat,USR,United States Representative,OKA,Okaloosa,1,,57,57,Oram,Bert,,8897
11/5/2002,DEM,Democrat,USR,United States Representative,SAN,Santa Rosa,1,,38,38,Oram,Bert,,8309
11/5/2002,DEM,Democrat,USR,United States Representative,WAL,Walton,1,,30,30,Oram,Bert,,3095
11/5/2002,DEM,Democrat,USR,United States Representative,WAS,Washington,1,,20,20,Oram,Bert,,2474
11/5/2002,WRI,Write-In,USR,United States Representative,ESC,Escambia,1,,91,91,Wells,Tom,,15
11/5/2002,WRI,Write-In,USR,United States Representative,HOL,Holmes,1,,17,17,Wells,Tom,,0
11/5/2002,WRI,Write-In,USR,United States Representative,OKA,Okaloosa,1,,57,57,Wells,Tom,,0
11/5/2002,WRI,Write-In,USR,United States Representative,SAN,Santa Rosa,1,,38,38,Wells,Tom,,4
11/5/2002,WRI,Write-In,USR,United States Representative,WAL,Walton,1,,30,30,Wells,Tom,,0
11/5/2002,WRI,Write-In,USR,United States Representative,WAS,Washington,1,,20,20,Wells,Tom,,0
11/5/2002,REP,Republican,USR,United States Representative,BAY,Bay,2,,55,55,McGurk,Tom,,21415
11/5/2002,REP,Republican,USR,United States Representative,CAL,Calhoun,2,,13,13,McGurk,Tom,,891
11/5/2002,REP,Republican,USR,United States Representative,DIX,Dixie,2,,11,11,McGurk,Tom,,1267
11/5/2002,REP,Republican,USR,United States Representative,FRA,Franklin,2,,9,9,McGurk,Tom,,1006
11/5/2002,REP,Republican,USR,United States Representative,GAD,Gadsden,2,,17,17,McGurk,Tom,,2428
11/5/2002,REP,Republican,USR,United States Representative,GUL,Gulf,2,,15,15,McGurk,Tom,,1436
11/5/2002,REP,Republican,USR,United States Representative,JAC,Jackson,2,,28,28,McGurk,Tom,,4122
11/5/2002,REP,Republican,USR,United States Representative,JEF,Jefferson,2,,12,12,McGurk,Tom,,645
11/5/2002,REP,Republican,USR,United States Representative,LAF,Lafayette,2,,6,6,McGurk,Tom,,626
11/5/2002,REP,Republican,USR,United States Representative,LEO,Leon,2,,118,118,McGurk,Tom,,23911
11/5/2002,REP,Republican,USR,United States Representative,LIB,Liberty,2,,9,9,McGurk,Tom,,436
11/5/2002,REP,Republican,USR,United States Representative,OKA,Okaloosa,2,,7,7,McGurk,Tom,,5435
11/5/2002,REP,Republican,USR,United States Representative,SUW,Suwannee,2,,17,17,McGurk,Tom,,4084
11/5/2002,REP,Republican,USR,United States Representative,TAY,Taylor,2,,14,14,McGurk,Tom,,1394
11/5/2002,REP,Republican,USR,United States Representative,WAK,Wakulla,2,,12,12,McGurk,Tom,,2222
11/5/2002,REP,Republican,USR,United States Representative,WAL,Walton,2,,3,3,McGurk,Tom,,3957
11/5/2002,DEM,Democrat,USR,United States Representative,BAY,Bay,2,,55,55,Boyd,Allen,,26617
11/5/2002,DEM,Democrat,USR,United States Representative,CAL,Calhoun,2,,13,13,Boyd,Allen,,3283
11/5/2002,DEM,Democrat,USR,United States Representative,DIX,Dixie,2,,11,11,Boyd,Allen,,2696
11/5/2002,DEM,Democrat,USR,United States Representative,FRA,Franklin,2,,9,9,Boyd,Allen,,2736
11/5/2002,DEM,Democrat,USR,United States Representative,GAD,Gadsden,2,,17,17,Boyd,Allen,,12719
11/5/2002,DEM,Democrat,USR,United States Representative,GUL,Gulf,2,,15,15,Boyd,Allen,,3914
11/5/2002,DEM,Democrat,USR,United States Representative,JAC,Jackson,2,,28,28,Boyd,Allen,,10398
11/5/2002,DEM,Democrat,USR,United States Representative,JEF,Jefferson,2,,12,12,Boyd,Allen,,2522
11/5/2002,DEM,Democrat,USR,United States Representative,LAF,Lafayette,2,,6,6,Boyd,Allen,,1894
11/5/2002,DEM,Democrat,USR,United States Representative,LEO,Leon,2,,118,118,Boyd,Allen,,63107
11/5/2002,DEM,Democrat,USR,United States Representative,LIB,Liberty,2,,9,9,Boyd,Allen,,1921
11/5/2002,DEM,Democrat,USR,United States Representative,OKA,Okaloosa,2,,7,7,Boyd,Allen,,1288
11/5/2002,DEM,Democrat,USR,United States Representative,SUW,Suwannee,2,,17,17,Boyd,Allen,,6746
11/5/2002,DEM,Democrat,USR,United States Representative,TAY,Taylor,2,,14,14,Boyd,Allen,,4569
11/5/2002,DEM,Democrat,USR,United States Representative,WAK,Wakulla,2,,12,12,Boyd,Allen,,6154
11/5/2002,DEM,Democrat,USR,United States Representative,WAL,Walton,2,,3,3,Boyd,Allen,,1600
11/5/2002,REP,Republican,USR,United States Representative,ALA,Alachua,3,,16,16,Carroll,Jennifer,,3317
11/5/2002,REP,Republican,USR,United States Representative,CLA,Clay,3,,9,9,Carroll,Jennifer,,4177
11/5/2002,REP,Republican,USR,United States Representative,DUV,Duval,3,,126,126,Carroll,Jennifer,,24861
11/5/2002,REP,Republican,USR,United States Representative,LAK,Lake,3,,12,12,Carroll,Jennifer,,3284
11/5/2002,REP,Republican,USR,United States Representative,MRN,Marion,3,,10,10,Carroll,Jennifer,,1495
11/5/2002,REP,Republican,USR,United States Representative,ORA,Orange,3,,56,56,Carroll,Jennifer,,12549
11/5/2002,REP,Republican,USR,United States Representative,PUT,Putnam,3,,33,33,Carroll,Jennifer,,6983
11/5/2002,REP,Republican,USR,United States Representative,SEM,Seminole,3,,12,12,Carroll,Jennifer,,2260
11/5/2002,REP,Republican,USR,United States Representative,VOL,Volusia,3,,13,13,Carroll,Jennifer,,1821
11/5/2002,DEM,Democrat,USR,United States Representative,ALA,Alachua,3,,16,16,Brown,Corrine,,8982
11/5/2002,DEM,Democrat,USR,United States Representative,CLA,Clay,3,,9,9,Brown,Corrine,,1029
11/5/2002,DEM,Democrat,USR,United States Representative,DUV,Duval,3,,126,126,Brown,Corrine,,40544
11/5/2002,DEM,Democrat,USR,United States Representative,LAK,Lake,3,,12,12,Brown,Corrine,,1859
11/5/2002,DEM,Democrat,USR,United States Representative,MRN,Marion,3,,10,10,Brown,Corrine,,877
11/5/2002,DEM,Democrat,USR,United States Representative,ORA,Orange,3,,56,56,Brown,Corrine,,25302
11/5/2002,DEM,Democrat,USR,United States Representative,PUT,Putnam,3,,33,33,Brown,Corrine,,4619
11/5/2002,DEM,Democrat,USR,United States Representative,SEM,Seminole,3,,12,12,Brown,Corrine,,3368
11/5/2002,DEM,Democrat,USR,United States Representative,VOL,Volusia,3,,13,13,Brown,Corrine,,1882
11/5/2002,WRI,Write-In,USR,United States Representative,ALA,Alachua,3,,16,16,Arnett,Jon,,1
11/5/2002,WRI,Write-In,USR,United States Representative,CLA,Clay,3,,9,9,Arnett,Jon,,0
11/5/2002,WRI,Write-In,USR,United States Representative,DUV,Duval,3,,126,126,Arnett,Jon,,2
11/5/2002,WRI,Write-In,USR,United States Representative,LAK,Lake,3,,12,12,Arnett,Jon,,0
11/5/2002,WRI,Write-In,USR,United States Representative,MRN,Marion,3,,10,10,Arnett,Jon,,0
11/5/2002,WRI,Write-In,USR,United States Representative,ORA,Orange,3,,56,56,Arnett,Jon,,0
11/5/2002,WRI,Write-In,USR,United States Representative,PUT,Putnam,3,,33,33,Arnett,Jon,,0
11/5/2002,WRI,Write-In,USR,United States Representative,SEM,Seminole,3,,12,12,Arnett,Jon,,0
11/5/2002,WRI,Write-In,USR,United States Representative,VOL,Volusia,3,,13,13,Arnett,Jon,,1
11/5/2002,REP,Republican,USR,United States Representative,BAK,Baker,4,,9,9,Crenshaw,Ander,,4820
11/5/2002,REP,Republican,USR,United States Representative,CLM,Columbia,4,,30,30,Crenshaw,Ander,,11827
11/5/2002,REP,Republican,USR,United States Representative,DUV,Duval,4,,165,165,Crenshaw,Ander,,125901
11/5/2002,REP,Republican,USR,United States Representative,HAM,Hamilton,4,,9,9,Crenshaw,Ander,,1861
11/5/2002,REP,Republican,USR,United States Representative,JEF,Jefferson,4,,10,10,Crenshaw,Ander,,1377
11/5/2002,REP,Republican,USR,United States Representative,LEO,Leon,4,,5,5,Crenshaw,Ander,,3150
11/5/2002,REP,Republican,USR,United States Representative,MAD,Madison,4,,11,11,Crenshaw,Ander,,3570
11/5/2002,REP,Republican,USR,United States Representative,NAS,Nassau,4,,23,23,Crenshaw,Ander,,16129
11/5/2002,REP,Republican,USR,United States Representative,UNI,Union,4,,12,12,Crenshaw,Ander,,2517
11/5/2002,WRI,Write-In,USR,United States Representative,BAK,Baker,4,,9,9,Knause,Charles,S.,2
11/5/2002,WRI,Write-In,USR,United States Representative,CLM,Columbia,4,,30,30,Knause,Charles,S.,25
11/5/2002,WRI,Write-In,USR,United States Representative,DUV,Duval,4,,165,165,Knause,Charles,S.,217
11/5/2002,WRI,Write-In,USR,United States Representative,HAM,Hamilton,4,,9,9,Knause,Charles,S.,133
11/5/2002,WRI,Write-In,USR,United States Representative,JEF,Jefferson,4,,10,10,Knause,Charles,S.,6
11/5/2002,WRI,Write-In,USR,United States Representative,LEO,Leon,4,,5,5,Knause,Charles,S.,42
11/5/2002,WRI,Write-In,USR,United States Representative,MAD,Madison,4,,11,11,Knause,Charles,S.,6
11/5/2002,WRI,Write-In,USR,United States Representative,NAS,Nassau,4,,23,23,Knause,Charles,S.,12
11/5/2002,WRI,Write-In,USR,United States Representative,UNI,Union,4,,12,12,Knause,Charles,S.,66
11/5/2002,REP,Republican,USR,United States Representative,CIT,Citrus,5,,41,41,Brown-Waite,Virginia 'Ginny',,21142
11/5/2002,REP,Republican,USR,United States Representative,HER,Hernando,5,,53,53,Brown-Waite,Virginia 'Ginny',,25884
